Tweet,TwitterHandle,UserLocation,DateCreated,NumberofRetweets
"RT @BTS_memes_101: Friend: what are you smiling about?
Me: nothing...
My brain: https://t.co/AGnc91M4As",ukiesaite,"Seoul, Republic of Korea",2017-12-13 11:29:48,0
My brain has too many tabs open.!! 😞😞,_dnnsnnz,,2017-12-13 11:29:49,0
His brain went into reboot during an interview 🙈😂 https://t.co/voBm4SswAp,danbrown1507,Exeter,2017-12-13 11:29:50,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,Kammmyyy1,"Arlington, VA",2017-12-13 11:29:50,0
Finished loving @DarkNetflix on @NetflixUK and need the second series now please! (though I suppose series 2 alread… https://t.co/Md7Y4X85qB,KayWoodsReally,United Kingdom,2017-12-13 11:29:50,0
"@derrickbranford @EdLatimore What does hard work to do with life-threatening environments or conditions?

One of my… https://t.co/A5AN27gche",dareandconquer,👇Learn from me👇,2017-12-13 11:29:51,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,xolaurynnn,,2017-12-13 11:29:51,0
RT @GeorgiaDirtRoad: This was not Steve Bannon’s fault. This was the GOP Establishment’s fault who is hell bent on destroying their own… ,eeyore886,"Strongsville, OH",2017-12-13 11:29:51,0
"RT @ugsadkid: me: i'm really anxious about this thing :(

my brain: hey don't be, if it doesn't work out you can always die :)

me: i... th…",hoyitskrystal,日本 ⇒ CA,2017-12-13 11:29:52,0
"RT @yusufyuie: Your girl: Ugh i swear you don't even be listening!

Your brain while she talking: https://t.co/otAEPyl3fg",ReallyDGAFF,Valdosta State University,2017-12-13 11:29:52,0
"RT @CainDraka: i must make more sneks
(a hognose, an arabian sand boa, and a ball python) https://t.co/h67TyJufl4",gummuffin,"6969coolstreet, weedsport",2017-12-13 11:29:52,0
RT @piersmorgan: I can do it in one second: ‘Unwatchable’. https://t.co/jp3c1k4Pfz,AllTTV2015,"Redondo Beach, CA",2017-12-13 11:29:52,0
"https://t.co/MBQzBe1AGh
US Democracy Has Always Been A Work In Progress Hence The 14th,15th &amp; 16th Amendment 2The C… https://t.co/BqIIiX4ZZW",Hipro_formance,"Washington, DC",2017-12-13 11:29:53,0
Building A Virtual Assistant For Raspberry Pi: The Practical Guide For Constructi  https://t.co/hzaIAUJeXY #python #programming #pythonbot_,pythonbot_,,2017-12-13 11:29:54,0
"RT @kurteichenwald: If this tax bill is not stopped, it will be the end of the American era. Public education crushed, brain drain of a… ",bobbiejaneV,NY,2017-12-13 11:29:56,0
#Neurology 954 Dr. David Perlmutter Shifts The Attention To Gut Health In Brain Maker. [https://t.co/2yI1dhxTtm] #Brain,DoctorNeural,Global,2017-12-13 11:29:58,0
"RT @jordynn_mcguire: ma dreams r so fucked up, honestly dunno how ma brain even manages to come up w half that shit 🤯",simone_breen,"Glenrothes, Scotland",2017-12-13 11:29:59,0
RT @Lmao: i WiLL LITERALLY GET ANXIETY BC OF IMAGINARY SCENARIOS I MADE UP IN MY HEAD THAT WON'T HAPPEN AND THEN GET ANXIETY… ,BicherBomh,,2017-12-13 11:30:00,0
"RT @AceofSpadesHQ: Remember if the Non-Binary Brain Trust had its way, we'd be at the end of Year One of Hillary Clinton's presidency.… ",robpublican,SPQR,2017-12-13 11:30:00,0
"Smiling, even in a bad mood, can immediately improve your mood because these muscles are enough to trigger happy chemicals in the brain.",itzwikipedia,,2017-12-13 11:30:00,0
"According to recent studies, #xenon should not only protect the #brain from damage, but also the #heart. The substa… https://t.co/APPwdnmOsO",MEDICATradeFair,"Düsseldorf, Germany",2017-12-13 11:30:00,0
@ys_17xx Some niggas just aint got a brain,camshark222,,2017-12-13 11:30:01,0
Music can repair brain damage and returns lost memories.,engrossingfacts,,2017-12-13 11:30:01,0
"17 Best #ArtificialIntelligence Courses To Standout in The Future

https://t.co/nL1PCUgc8B

#AI #DataScientist… https://t.co/HPWTLSsgC8",ahmedjr_16,,2017-12-13 11:30:01,0
"Up to 95% off all #Udemy online courses, inc. #python courses: https://t.co/cpdsimooYO",BestCourses_,"Nevada, USA",2017-12-13 11:30:03,0
@EdKrassen @IRdotnet @realDonaldTrump 25 liberal seats up for grabs in 2018 let's see who the loser's are. Get the… https://t.co/kywWYRGfLp,DonnyGwapo,"Michigan, USA",2017-12-13 11:30:03,0
"RT @yellawolf_: You’re a fool, who the fuck are u when someone wan speak with u on phone he has to pay 30k? U be Beyoncé ? You’re a… ",aminusumar," •Kano, Nigeria•",2017-12-13 11:30:04,0
"RT @ugsadkid: me: i'm really anxious about this thing :(

my brain: hey don't be, if it doesn't work out you can always die :)

me: i... th…",or_dxnt,he/him please,2017-12-13 11:30:05,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,revengesma,,2017-12-13 11:30:06,0
RT @inspirestagram: Before talking: Please connect the tongue to the brain.,BEAtiful66666,Road 16 Sta.Ana Manila,2017-12-13 11:30:06,0
"RT @sadgirlkms: me: wow i sure am hungry but idk what to eat

brain: just fuckin eat nothing 

me: understandable have a good day",_sameenas,sydney riot squad,2017-12-13 11:30:06,0
"RT @BIowingUpMinds: After you die, it is believed that you have 7 minutes of brain activity left inside you, and in the 7 minutes you e… ",SheWantsTheVic,"Atlanta, GA",2017-12-13 11:30:06,0
Mike Driscoll: Flask 101: How to Add a Search Form https://t.co/dXZO9dKGHe #python,ericcire,In a greenhouse,2017-12-13 11:30:07,0
@kennethkalmer :D it’s just such a different feedback loop. You can offload so much onto the compiler and not have… https://t.co/fUK66cmz70,bflyblue,"Johannesburg, South Africa",2017-12-13 11:30:07,0
"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body. By Goleman and Davidson https://t.co/JtzpUTfrD1",JakeHargisBooks,,2017-12-13 11:30:07,0
"Wingware News: Wing Python IDE 6.0.9: December 13, 2017 https://t.co/RodEUttecI #python",ericcire,In a greenhouse,2017-12-13 11:30:07,0
The Jetsons (Main Title) - William Hanna &amp; Joseph Barbera &amp; Hoyt S Curtin - Scrape It Off the Bottom of Your Brain.… https://t.co/ZhZMcQstAt,wholesomeradio,Chicago,2017-12-13 11:30:08,0
Python Anywhere: Introducing the beta for always-on tasks https://t.co/VJgigrEjGB #python,ericcire,In a greenhouse,2017-12-13 11:30:08,0
RT @GeorgiaDirtRoad: This was not Steve Bannon’s fault. This was the GOP Establishment’s fault who is hell bent on destroying their own… ,MichelleRMed,United States,2017-12-13 11:30:09,0
"RT @MSUK6: #MSnews: Time of day affects severity of #autoimmune #disease 
https://t.co/alBL91W2QQ
#MS #MultipleSclerosis… ",Squiffy2,Somewhere over the rainbow,2017-12-13 11:30:10,0
RT @WallisEates: Love a blurry page of thumbnails! Work-in-progress for 'Like an Orange' - collaboration comic with brain injury sur… ,StreathamComics,Streatham,2017-12-13 11:30:11,0
"RT @BIowingUpMinds: After you die, it is believed that you have 7 minutes of brain activity left inside you, and in the 7 minutes you e… ",_kayyyy8,"Lake Jackson, TX",2017-12-13 11:30:13,0
"RT @snickerbuttania: I’m pretty sure since she’s older, less brainwashed and been around in the world a lot more than you, she has a bet… ",rbhutch1966,"Vermont, USA ",2017-12-13 11:30:13,0
RT @SoDamnTrue: i WiLL LITERALLY GET ANXIETY BC OF IMAGINARY SCENARIOS I MADE UP IN MY HEAD THAT WON'T HAPPEN AND THEN GET ANXIETY… ,marindabcde,"Kediri, Jawa Timur",2017-12-13 11:30:14,0
"RT @MalcolmLerider: Strongly recommend C#, Java, Python and JavaScript developers to look into the NEO competition with USD 490.000 in… ",Bitcoinbenelux1,,2017-12-13 11:30:14,0
RT @zachht1: My last three brain cells on their way to ace my finals for me https://t.co/1w7LPU1AyF,sabrinahaliee,Sfasu,2017-12-13 11:30:14,0
Does Marriage Help Preserve Your Brain? https://t.co/Sf2bB7683f,NoraApothecary,,2017-12-13 11:30:16,0
"RT @ArtTherapyOrg: Check out our latest video on the intersection of #ArtTherapy and #neuroscience, feat. @davegussak of @FSUArt4Life.… ",davegussak,Florida State Univ,2017-12-13 11:30:16,0
@cscdad1 @realDonaldTrump Look what ten cans of Diet Coke a day does to a person’s brain. Shocking,MarcAround,,2017-12-13 11:30:16,0
"OUT NOW ❗️ BRAIN DEAD )) DROP 7

SHOP HERE ➡️➡️➡️ https://t.co/UaHIalirj4 https://t.co/pjjh9QfQiR",1st_OG,Niederdorfstrasse 10 - Zurich ,2017-12-13 11:30:13,0
"Lmao, bro your head dey dia. https://t.co/PBfPEk2Wzt",Mr_Myusuf_,Nigeria,2017-12-13 11:30:17,0
"@watchout4dragon Nah i get you I just wish I could?

I like engaging people and making them feel they can reply to… https://t.co/hI9MlnY4oh",kclt10,New Zealand,2017-12-13 11:30:17,0
"RT @Jason_Bugatti: Dame Dash, for me, is more of a visionary than Jay-Z..he's the brain behind the powers that be..guys like that are… ",XtasyMong,"Luanda, Mong Block",2017-12-13 11:30:18,0
"@tjgjchm @ChrisRBarron @DonaldJTrumpJr @CNN Even if allegations true (big if), there is a difference between making… https://t.co/UjdgdJilEn",DavidKrancer,"Kemmerer, WY",2017-12-13 11:30:19,0
"Bayesian Machine Learning in Python: A/B Testing
☞ https://t.co/HKsOYNfyHW

#python https://t.co/jL7uPx78j5",Python_Devs,United States,2017-12-13 11:30:19,0
"Once upon a time, Python the bug-fixing programming language left her home. Python went home.",Jeffrey_MacAsk,,2017-12-13 11:30:19,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,MalikRadioRahim,,2017-12-13 11:30:19,0
RT @esther_muuka: All the time 😂😂😂 https://t.co/CFgs4oiky1,JMokha_,,2017-12-13 11:30:20,0
@AshWrites I’m in school and learning nothing rn. My brain is asleep and mad at me for year long sleep deprivation.… https://t.co/7N2FpUvvsz,wildmoonchildz,Mars,2017-12-13 11:30:22,0
"RT @NewWorldHominin: ""The film presents evidence that most children with gender dysphoria eventually overcome the feelings without trans… ",DCTFTW,,2017-12-13 11:30:23,0
"@python NowTime: 2017/12/13 20:30:23.4809
TweetCount: 2067",nfz6,,2017-12-13 11:30:23,0
What Donkey Kong can tell us about how to study the brain - https://t.co/Q5f2ZpoPkA #teachers #k12 #Magnilearn… https://t.co/sJ4bz6XJNz,thekindleader,"Indiana, USA",2017-12-13 11:30:24,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,snoaxhoes,"Miami Beach, FL",2017-12-13 11:30:30,0
"RT @trojansauce: ME: remember there are acceptable behaviours here
STUDIO AUDIENCE THAT LIVE IN MY BRAIN: CROSS! THAT! LINE!",CyrusOMerican,O'Merica,2017-12-13 11:30:30,0
"ISIS and @TRobinsonNewEra are equally bad terrorists 

https://t.co/XdRJgIGM0s",RussianMemeUSSR,"Texas, USA",2017-12-13 11:30:30,0
"Handmade Full Grain Leather Backpack, Vintage Backpack, College Backpack https://t.co/05jv2LbkDc",jellybeangoril1,Wales,2017-12-13 11:30:31,0
like hows your brain works?😅😅,devilishrye,"Selangor, Malaysia",2017-12-13 11:30:31,0
"#Spectrum My #InternetSpeed :
Ping: 29.888 ms
Download: 58.93 Mbit/s
Upload: 5.05 Mbit/s
#automagic #python #corporateaccountability",BeardySmeardy,"Newtown, CT",2017-12-13 11:30:32,0
"Regular brain: move things in London to Manchester
Cosmic brain: wipe Manchester off the map for being shite",jmsclee,,2017-12-13 11:30:33,0
"Brain and Brawn for Change: Academic Diaspora, Migration and Remittances. https://t.co/blZtpXuo2y",Haidar_Yousfzai,Pakistan,2017-12-13 11:30:33,0
"RT @BIowingUpMinds: After you die, it is believed that you have 7 minutes of brain activity left inside you, and in the 7 minutes you e… ",aliza_gonzalez,,2017-12-13 11:30:33,0
@StarkillerSW @WalkrStalkrCon To know higher education so you resort to insults rather than forming a concrete thou… https://t.co/POsobmzNmJ,bigraff21,DeLand Florida,2017-12-13 11:30:34,0
"Introduction to Computer Vision | Master OpenCV in Python
☞ https://t.co/MCkVTiO9I4
#python #developers… https://t.co/8xxsRrQ0VP",python_Dve,United States,2017-12-13 11:30:38,0
"@MarkLabbett Keeps my ole brain ticking chap, luv the chase",DonaghRoy,,2017-12-13 11:30:39,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,HCalderasC,"Amsterdam, The Netherlands",2017-12-13 11:30:39,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,Gardell14,Florida boy 🌴,2017-12-13 11:30:39,0
"RT @ChadPergram: Senate Armed Services hrng today on research, diagnosis, and treatment for traumatic brain injury/concussion in service me…",R98250729,,2017-12-13 11:30:39,0
"RT @itzwikipedia: Smiling, even in a bad mood, can immediately improve your mood because these muscles are enough to trigger happy chemical…",liza_mclenaghan,"Bacoor, Calabarzon",2017-12-13 11:30:41,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,victoria2pearl,Bleeding Scarlet & Gray,2017-12-13 11:30:41,0
"RT @BIowingUpMinds: After you die, it is believed that you have 7 minutes of brain activity left inside you, and in the 7 minutes you e… ",AstuantaNiang,,2017-12-13 11:30:41,0
